Image,Caption
M01_01.jpg,"This image resembles the vesicular stage of the disease, which typically occurs in the 3rd stage and lasts for about 1-2 days."
M01_02.jpg,"The image corresponds to the 5th stage of the disease, where scabs are present, and this stage typically lasts between 7-14 days."
M01_03.jpg,"This picture illustrates the 3rd stage of the disease, showing vesicles on the hands, which usually last for 1-2 days."
M01_04.jpg,"In this image, the 3rd stage is depicted, featuring vesicles on the hands that typically persist for 1-2 days."
M02_01.jpg,"This image shows a similarity to the pustule stage, where blisters filled with pus are visible, usually lasting for 5-7 days."
M02_02.jpg,"The image displays the index finger with blisters containing clear fluid, where the bumps appear to be getting larger, typically lasting for 1-2 days."
M03_01.jpg,The image shows scars remaining on the hand after recovering from monkeypox.
M04_01.jpg,"The image depicts the 5th stage of monkeypox, where spots crust over and develop into scabs that eventually fall off, typically over a period of 7-14 days."
M05_01.jpg,This image of the feet shows signs of monkeypox after the individual has nearly recovered.
M05_02.jpg,"This image of the feet reveals signs of monkeypox, indicating the condition after nearly recovering."
M06_01.jpg,"The image of the hand shows a blister filled with pus, characteristic of the pustule stage of monkeypox."
M06_02.jpg,"The hand in the image displays a blister filled with pus, indicative of the pustule stage of monkeypox."
M07_01.jpg,This image is showing signs of monkey pox
M08_01.jpg,"The image shows both hands with vesicles, which are fluid-filled blisters"
M09_01.jpg,"The image shows the 4th stage of monkeypox on the hand, with pustules present."
M09_02.jpg,"This image shows the 4th stage of monkeypox on the hand, characterized by the presence of pustules."
M09_03.jpg,"This image depicts the 4th stage of monkeypox on the hand, featuring pustules."
M09_04.jpg,"This image depicts the 4th stage of monkeypox on the hand, featuring pustules."
M10_01.jpg,"The image illustrates the 4th stage of monkeypox on the hand, where pustules are visible."
M10_02.jpg,"This image depicts the 5th stage of monkeypox, where spots have crusted over into scabs, typically lasting 7-14 days."
M11_01.jpg,"The image displays the human face in the 5th stage of monkeypox, with prominent scabs visible."
M12_01.jpg,"This image shows the 3rd stage of monkeypox, characterized by vesicles that last for 1-2 days."
M13_01.jpg,This image shows a person infected with monkeypox.
M14_01.jpg,This image shows the 4th stage of monkeypox.
M15_01.jpg,This image shows the 5th stage of monkeypox.
M16_01.jpg,Here is a picture of the fifth stage of monkeypox.
M17_01.jpg,This image shows the 5th stage of monkeypox.
M17_02.jpg,"This image shows pustules, which are blisters filled with pus, typically lasting 5-7 days."
M18_01.jpg,Pustules are pus-filled blisters that usually endure for five to seven days.
